Symbol|Security Name|Market Category|Status|Test Issue
ACGX|Alliance Creative Group, Inc. Common Stock|NBB||
ACGYF|Subsea 7 SA Ordinary Shares (Luxembourg)|NBB||
ACHI|Accretive Health, Inc. Common Stock|NBB||
ACIOY|Acino Holding AG Unsponsored ADR (Switzerland)|NBB||
ACJJF|Acom Co Ltd  Jpy Ordinary Shares|NBB||
ACKAY|Arcelik A S Unsponsored ADR (Turkey)|NBB||
ACKBF|ACL International Ltd. Ordinary Shares (Canada)|NBB||
ACKDF|Auckland International Airport Ltd Ordinary Shares (New Zealand)|NBB||
ACKRF|American Creek Resources Ltd Common  Shares (Canada)|NBB||
ACLD|Acquire Ltd Common Stock|NBB||
ACLH|Act Clean Technologies, Inc. Common Stock|NBB||
ACLLF|Atco Ltd  Cl I Nv Cda Ordinary Shares|NBB||
ACLP|AccelPath, Inc.Common Stock|NBB||
ACLTF|Atco Ltd Cl Ii Vtg Cda Ordinary Shares|NBB||
ACLZ|Accelerize Inc. Common Stock|BB|ACTIVE|
ACMA|ACM Corporation. Common|NBB||
ACMC|American Church Mortgage Co Common Stock|NBB||
ACMDY|Atlas Consolidated Mining & Development Corp American Depositary Share (Unsponsored) (Phillippines)|NBB||
ACME|ACME Communications, Inc. Common Stock|NBB||
ACMG|ACE Consulting Management, Inc. Common Stock|BB|ACTIVE|
ACMHY|Ascom Holding AG Sponsored American Depository Receipt (Switzerland)|NBB||
ACMM|Accom, Inc. Common Stock|NBB||
ACMT|ACMAT Corporation Common Stock|NBB||
ACMTA|ACMAT Corporation Class A Common Stock|NBB||
ACMUY|Acom Co Ltd Sponsored ADR (Japan)|NBB||
ACNDF|Ascendas India Trust Units (Singapore)|NBB||
ACNDY|Ascendas India Trust Unsponsored ADR (Singapore)|NBB||
ACNE|Alice Cons Mines Inc Common Stock|NBB||
ACNFF|Amsterdam Commodities NV Ordinary Shares (Netherlands)|NBB||
ACNI|American Community Newspapers Inc Common Stock|NBB||
ACNOF|Aerocrine AB Ordinary Shares B (Sweden)|NBB||
ACNOY|Aerocrine AB ADR (Sweden)|NBB||
ACNV|Accelera Innovations, Inc. Common Stock|NBB||
ACOL|Acology, Inc. Common Stock|NBB||
ACOPF|A2 Milk Co Ltd. Shs (New Zealand)|NBB||
ACOSF|Archos ACT.NOM|NBB||
ACPGF|Atacama Pacific Gold Corp. Ordinary Shares (Canada)|NBB||
